timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675806941502,1625,https://demoqa.com/BookStore/v1/Books,304,Not Modified,Thread Group 1-1,,true,,189,400,32,32,https://demoqa.com/BookStore/v1/Books,0,0,0
1675806936790,6017,Log_In_Test,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,6231,2146,32,32,null,4392,318,1137
1675806940833,2315,https://demoqa.com/Account/v1/GenerateToken,200,OK,Thread Group 1-15,text,true,,329,469,32,32,https://demoqa.com/Account/v1/GenerateToken,2315,0,0
1675806941629,1665,https://demoqa.com/Account/v1/Login,200,OK,Thread Group 1-7,text,true,,622,461,33,33,https://demoqa.com/Account/v1/Login,1665,0,0
1675806941113,2266,https://demoqa.com/Account/v1/GenerateToken,200,OK,Thread Group 1-16,text,true,,329,469,33,33,https://demoqa.com/Account/v1/GenerateToken,2266,0,0
1675806941594,1796,https://demoqa.com/BookStore/v1/Books,200,OK,Thread Group 1-25,text,true,,4762,347,33,33,https://demoqa.com/BookStore/v1/Books,1796,0,148
1675806941795,1766,https://demoqa.com/Account/v1/Login,200,OK,Thread Group 1-4,text,true,,622,461,34,34,https://demoqa.com/Account/v1/Login,1766,0,0
1675806941967,1596,https://demoqa.com/BookStore/v1/Books,304,Not Modified,Thread Group 1-2,,true,,189,400,34,34,https://demoqa.com/BookStore/v1/Books,0,0,0
1675806937015,6426,Log_In_Test,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6231,2146,34,34,null,4820,121,1105
1675806941783,1781,https://demoqa.com/BookStore/v1/Books,200,OK,Thread Group 1-26,text,true,,4762,347,34,34,https://demoqa.com/BookStore/v1/Books,1781,0,138
1675806941313,2344,https://demoqa.com/Account/v1/GenerateToken,200,OK,Thread Group 1-17,text,true,,329,469,35,35,https://demoqa.com/Account/v1/GenerateToken,2344,0,0
1675806941981,2016,https://demoqa.com/BookStore/v1/Books,200,OK,Thread Group 1-27,text,true,,4762,347,36,36,https://demoqa.com/BookStore/v1/Books,2016,0,210
1675806941426,2573,https://demoqa.com/Account/v1/GenerateToken,200,OK,Thread Group 1-11,text,true,,526,469,36,36,https://demoqa.com/Account/v1/GenerateToken,2573,0,0
1675806942212,1806,https://demoqa.com/Account/v1/Login,200,OK,Thread Group 1-8,text,true,,622,461,36,36,https://demoqa.com/Account/v1/Login,1806,0,0
1675806942172,1848,https://demoqa.com/BookStore/v1/Books,200,OK,Thread Group 1-28,text,true,,4762,347,36,36,https://demoqa.com/BookStore/v1/Books,1848,0,140
1675806941507,2671,https://demoqa.com/Account/v1/GenerateToken,200,OK,Thread Group 1-18,text,true,,329,469,37,37,https://demoqa.com/Account/v1/GenerateToken,2670,0,0
1675806942361,1870,https://demoqa.com/Account/v1/Login,200,OK,Thread Group 1-9,text,true,,622,461,38,38,https://demoqa.com/Account/v1/Login,1870,0,0
1675806942570,1664,https://demoqa.com/BookStore/v1/Books,304,Not Modified,Thread Group 1-6,,true,,189,400,38,38,https://demoqa.com/BookStore/v1/Books,0,0,0
